Prop_Addr,Delta,SalePrice,Value
1909 ROOSEVELT AVE,61K,146K,undervalued by 
5428 NORRIS ST,61K,143K,undervalued by 
2220 BURNETT AVE,61K,150K,undervalued by 
1249 24TH ST,61K,140K,undervalued by 
303 N RUSSELL AVE,61K,170K,undervalued by 
1326 MAXWELL AVE,60K,148K,undervalued by 
5416 KANSAS DR,60K,152K,undervalued by 
1330 WOODSTOCK AVE,60K,151K,undervalued by 
2918 EISENHOWER AVE,60K,147K,undervalued by 
2631 STANGE RD,60K,151K,undervalued by 
2315 DUFF AVE,60K,155K,undervalued by 
1413 16TH ST,60K,153K,undervalued by 
704 GARNET DR,60K,138K,undervalued by 
1626 BURNETT AVE,60K,142K,undervalued by 
1603 MEADOWLANE AVE 1605,60K,145K,undervalued by 
5007 KANSAS DR,60K,150K,undervalued by 
1404 IDAHO AVE,60K,160K,undervalued by 
1325 WILSON AVE,60K,153K,undervalued by 
1420 INDIANA AVE,60K,151K,undervalued by 
1315 MARSTON AVE,60K,167K,undervalued by 
636 GARDEN RD,60K,139K,undervalued by 
2611 STANGE RD,60K,151K,undervalued by 
1226 CARROLL AVE,60K,147K,undervalued by 
1500 TRUMAN DR,60K,158K,undervalued by 
2203 JENSEN AVE,60K,150K,undervalued by 
2408 WELBECK DR,60K,156K,undervalued by 
1211 BURNETT AVE,59K,158K,undervalued by 
4715 TWAIN ST,59K,143K,undervalued by 
2810 NORTHWESTERN AVE,59K,149K,undervalued by 
808 NARLAND DR,59K,152K,undervalued by 
3412 ONTARIO ST,59K,145K,undervalued by 
2510 BRISTOL DR,59K,172K,undervalued by 
1314 MAXWELL AVE,59K,146K,undervalued by 
812 HUNZIKER DR,59K,141K,undervalued by 
925 YUMA AVE,59K,145K,undervalued by 
4634 TWAIN ST,59K,144K,undervalued by 
432 E 20TH ST,59K,158K,undervalued by 
1640 CARROLL AVE,59K,153K,undervalued by 
1922 ROOSEVELT AVE,59K,151K,undervalued by 
1209 MARSTON AVE,59K,165K,undervalued by 
1323 ARIZONA AVE,59K,144K,undervalued by 
430 OLIVER AVE,59K,155K,undervalued by 
538 HAYWARD AVE,59K,168K,undervalued by 
3309 ROSS RD,59K,165K,undervalued by 
4625 TWAIN ST,59K,144K,undervalued by 
2645 CLEVELAND DR,59K,170K,undervalued by 
5409 FROST DR,59K,144K,undervalued by 
5325 KANSAS DR,59K,142K,undervalued by 
1504 MARSTON AVE,59K,166K,undervalued by 
2207 HAYES AVE,59K,164K,undervalued by 
2511 KELLOGG AVE,59K,158K,undervalued by 
2508 BRISTOL DR,59K,170K,undervalued by 
601 HAYWARD AVE,59K,197K,undervalued by 
4629 TWAIN ST,59K,144K,undervalued by 
2222 DUFF AVE,58K,167K,undervalued by 
3006 KELLOGG AVE,58K,167K,undervalued by 
2020 PINEHURST DR,58K,155K,undervalued by 
2018 BURNETT AVE,58K,153K,undervalued by 
1310 20TH ST,58K,158K,undervalued by 
733 ARIZONA AVE,58K,142K,undervalued by 
5402 SCHUBERT ST,58K,145K,undervalued by 
3315 POLARIS DR,58K,155K,undervalued by 
1501 ILLINOIS AVE,58K,144K,undervalued by 
1605 CRESTWOOD CIR,58K,157K,undervalued by 
3825 MARIGOLD DR,58K,146K,undervalued by 
1202 SCOTT AVE,58K,152K,undervalued by 
627 RIVER OAK DR,58K,169K,undervalued by 
1512 MEADOWLANE AVE,58K,155K,undervalued by 
1127 ARIZONA AVE,58K,158K,undervalued by 
2105 FRILEY RD,58K,158K,undervalued by 
701 RIDGEWOOD AVE,58K,162K,undervalued by 
5421 FROST DR,58K,145K,undervalued by 
2012 TAYLOR CIR,58K,160K,undervalued by 
2706 NORTHRIDGE PKWY,58K,155K,undervalued by 
1225 ARIZONA AVE,58K,148K,undervalued by 
2826 MONROE DR,58K,160K,undervalued by 
1315 GLENDALE AVE,58K,156K,undervalued by 
2705 HOOVER AVE,57K,165K,undervalued by 
601 GARDEN RD,57K,157K,undervalued by 
3906 DAWES DR,57K,169K,undervalued by 
2004 MCCARTHY RD,57K,157K,undervalued by 
3928 BROOKDALE CIR,57K,160K,undervalued by 
5220 MARYLAND ST,57K,163K,undervalued by 
4105 BRICKMAN AVE,57K,160K,undervalued by 
1206 26TH ST,57K,147K,undervalued by 
3316 GARNER AVE,57K,148K,undervalued by 
4717 TWAIN ST,57K,145K,undervalued by 
1203 WILSON AVE,57K,169K,undervalued by 
301 SUNFLOWER DR,57K,140K,undervalued by 
2009 ROOSEVELT CIR,57K,152K,undervalued by 
1510 INDIANA AVE,57K,154K,undervalued by 
1219 GARFIELD CIR,57K,149K,undervalued by 
4023 MARIGOLD DR,57K,165K,undervalued by 
5406 KANSAS DR,57K,159K,undervalued by 
2218 NORTHWESTERN AVE,57K,176K,undervalued by 
5418 FROST DR,57K,145K,undervalued by 
2621 STANGE RD,57K,152K,undervalued by 
1506 MAXWELL AVE,57K,152K,undervalued by 
220 S MAPLE AVE,57K,166K,undervalued by 
1618 BEL AIR DR,57K,160K,undervalued by 
2026 JENSEN AVE,57K,166K,undervalued by 
1115 GARNER CIR,56K,150K,undervalued by 
5121 EMERSON DR,56K,158K,undervalued by 
2103 MELROSE AVE,56K,142K,undervalued by 
202 22ND ST,56K,166K,undervalued by 
1208 ARIZONA AVE,56K,154K,undervalued by 
5440 FROST DR,56K,146K,undervalued by 
3207 JEWEL CIR,56K,152K,undervalued by 
1608 JACKSON DR,56K,155K,undervalued by 
806 ARIZONA AVE,56K,158K,undervalued by 
1311 COOLIDGE DR,56K,164K,undervalued by 
1904 WILSON AVE,56K,156K,undervalued by 
2313 MCKINLEY CIR,56K,170K,undervalued by 
1304 ILLINOIS AVE,56K,152K,undervalued by 
2116 NORTHWESTERN AVE,56K,162K,undervalued by 
5020 EMERSON DR,56K,150K,undervalued by 
5124 SCHUBERT ST,56K,150K,undervalued by 
5225 KANSAS DR,56K,149K,undervalued by 
1141 OKLAHOMA DR,56K,156K,undervalued by 
1429 GLENDALE AVE,56K,154K,undervalued by 
3909 ARKANSAS DR,56K,159K,undervalued by 
4804 WESTBEND DR,56K,155K,undervalued by 
602 ASH AVE,56K,155K,undervalued by 
5454 FROST DR,56K,148K,undervalued by 
108 SANDBURG CT,56K,150K,undervalued by 
1413 WHEELER ST,56K,155K,undervalued by 
3905 MARIGOLD DR,56K,148K,undervalued by 
2007 KILDEE ST,55K,155K,undervalued by 
4210 WELBECK DR,55K,157K,undervalued by 
1107 SCOTT AVE,55K,165K,undervalued by 
5311 KANSAS DR,55K,155K,undervalued by 
1824 ARTHUR CIR,55K,154K,undervalued by 
917 TOP O HOLLOW RD,55K,141K,undervalued by 
2136 DUFF AVE,55K,162K,undervalued by 
417 WELLONS DR,55K,160K,undervalued by 
3903 ARKANSAS DR,55K,150K,undervalued by 
1522 MAXWELL AVE,55K,155K,undervalued by 
2619 KELLOGG AVE,55K,163K,undervalued by 
3914 ARKANSAS DR,55K,153K,undervalued by 
2102 HAYES AVE,55K,158K,undervalued by 
3113 NORTHWOOD DR,55K,158K,undervalued by 
2312 CLARK AVE,55K,163K,undervalued by 
4636 TWAIN ST,55K,149K,undervalued by 
1009 MESA VERDE PL,55K,160K,undervalued by 
4101 ROSS RD,55K,154K,undervalued by 
414 WELLONS DR,55K,160K,undervalued by 
3804 EISENHOWER AVE,55K,160K,undervalued by 
2617 CLEVELAND DR,54K,174K,undervalued by 
2056 PINEHURST DR,54K,170K,undervalued by 
1502 BUCHANAN DR,54K,161K,undervalued by 
1827 COOLIDGE DR,54K,167K,undervalued by 
2710 BRISTOL DR,54K,160K,undervalued by 
1607 PIERCE CIR,54K,162K,undervalued by 
1304 16TH ST,54K,161K,undervalued by 
4716 TWAIN ST,54K,149K,undervalued by 
1406 JEFFERSON ST,54K,156K,undervalued by 
3733 BLANSHAN DR,54K,158K,undervalued by 
1534 LINDEN DR,54K,168K,undervalued by 
1210 GARFIELD CIR,54K,145K,undervalued by 
3010 KELLOGG AVE,54K,167K,undervalued by 
3724 EISENHOWER AVE,54K,164K,undervalued by 
821 NARLAND DR,54K,153K,undervalued by 
5425 KANSAS DR,54K,159K,undervalued by 
3833 MARIGOLD DR,54K,145K,undervalued by 
1019 ROOSEVELT AVE,54K,163K,undervalued by 
2808 OAKLAND ST,54K,157K,undervalued by 
4108 BRICKMAN AVE,54K,160K,undervalued by 
5321 KANSAS DR,54K,158K,undervalued by 
922 POE AVE,53K,165K,undervalued by 
2708 EISENHOWER AVE,53K,164K,undervalued by 
1924 BEL AIR DR,53K,158K,undervalued by 
1809 MAXWELL AVE,53K,171K,undervalued by 
103 SANDBURG CT,53K,162K,undervalued by 
1903 COOLIDGE DR,53K,155K,undervalued by 
201 ROCKWELL AVE,53K,150K,undervalued by 
2317 BAKER ST,53K,165K,undervalued by 
2413 WESTWIND DR,53K,160K,undervalued by 
107 GARDEN RD,53K,146K,undervalued by 
3907 ROSS RD,53K,158K,undervalued by 
618 9TH ST,53K,185K,undervalued by 
1510 ILLINOIS AVE,53K,162K,undervalued by 
314 PATRICIA DR,53K,168K,undervalued by 
2527 KELLOGG AVE,53K,165K,undervalued by 
1604 JACKSON DR,53K,157K,undervalued by 
911 ARIZONA AVE,53K,154K,undervalued by 
5305 KANSAS DR,53K,153K,undervalued by 
1723 MAXWELL AVE,53K,172K,undervalued by 
1423 GLENDALE AVE,52K,152K,undervalued by 
2416 EATON AVE,52K,165K,undervalued by 
313 E 16TH ST,52K,160K,undervalued by 
621 DULUTH ST,52K,149K,undervalued by 
3318 JEWEL DR,52K,160K,undervalued by 
418 OPAL CIR,52K,156K,undervalued by 
1704 DOUGLAS AVE,52K,159K,undervalued by 
2810 PINEHURST CIR,52K,162K,undervalued by 
611 RIDGEWOOD AVE,52K,165K,undervalued by 
1509 TRUMAN DR,52K,154K,undervalued by 
3224 ROSS RD,52K,162K,undervalued by 
4910 ONTARIO ST,52K,162K,undervalued by 
3825 WELBECK DR,52K,162K,undervalued by 
1318 WISCONSIN CIR,52K,171K,undervalued by 
1909 BEL AIR CIR,52K,167K,undervalued by 
3431 SOUTHDALE DR,52K,154K,undervalued by 
2500 NORTHWESTERN AVE,52K,156K,undervalued by 
2809 BRISTOL DR,52K,166K,undervalued by 
1321 GLENDALE AVE,52K,160K,undervalued by 
1428 NORTHWESTERN AVE,52K,175K,undervalued by 
922 MESA VERDE PL,52K,152K,undervalued by 
5404 NORRIS ST,52K,152K,undervalued by 
418 PEARSON AVE,52K,160K,undervalued by 
1231 25TH ST,51K,158K,undervalued by 
2130 DUFF AVE,51K,175K,undervalued by 
915 GASKILL DR,51K,174K,undervalued by 
1130 SCHOLL RD,51K,165K,undervalued by 
2824 GREENSBORO DR,51K,165K,undervalued by 
619 CRYSTAL ST,51K,156K,undervalued by 
716 HODGE AVE,51K,180K,undervalued by 
3604 ANNEAR ST,51K,165K,undervalued by 
2407 WESTWIND DR,51K,176K,undervalued by 
1523 GLENDALE AVE,51K,159K,undervalued by 
3514 ANNEAR ST,51K,172K,undervalued by 
5407 SCHUBERT ST,51K,148K,undervalued by 
3831 BROOKDALE AVE,51K,166K,undervalued by 
104 E 20TH ST 106,51K,190K,undervalued by 
1703 BEL AIR DR,51K,159K,undervalued by 
3328 EMERALD DR,51K,160K,undervalued by 
3902 ARKANSAS DR,51K,160K,undervalued by 
2332 DONALD ST,50K,177K,undervalued by 
4009 EISENHOWER AVE,50K,165K,undervalued by 
1014 POE AVE,50K,169K,undervalued by 
3418 JEWEL DR,50K,161K,undervalued by 
4015 HYDE AVE,50K,166K,undervalued by 
1303 KENTUCKY AVE,50K,175K,undervalued by 
3629 FLETCHER BLVD,50K,172K,undervalued by 
3715 COLUMBINE CIR,50K,168K,undervalued by 
615 GARDEN RD,50K,150K,undervalued by 
307 SCHUBERT CIR,50K,163K,undervalued by 
5113 SCHUBERT ST,50K,154K,undervalued by 
515 LYNN AVE,50K,191K,undervalued by 
1013 WILSON AVE,50K,178K,undervalued by 
2204 PRAIRIE VIEW EAST,50K,168K,undervalued by 
1804 MAXWELL AVE,50K,162K,undervalued by 
429 HAYWARD AVE,50K,180K,undervalued by 
428 26TH ST,50K,174K,undervalued by 
3322 EMERALD DR,50K,162K,undervalued by 
202 TODD CIR,50K,167K,undervalued by 
2409 WESTWIND DR,50K,174K,undervalued by 
1505 KENTUCKY AVE,50K,172K,undervalued by 
2905 ONTARIO ST 2907,50K,190K,undervalued by 
410 THACKERAY AVE,50K,158K,undervalued by 
2713 HAMPTON ST,50K,166K,undervalued by 
1621 GRAND AVE,50K,172K,undervalued by 
1509 CLARK AVE,49K,165K,undervalued by 
3402 JEWEL DR,49K,172K,undervalued by 
1412 MEADOWLANE AVE,49K,170K,undervalued by 
1642 JOHNSON ST,49K,179K,undervalued by 
4205 CRESTMOOR AVE,49K,168K,undervalued by 
2036 WYNGATE DR,49K,169K,undervalued by 
2103 COUNTRY CLUB BLVD,49K,154K,undervalued by 
2814 MONROE DR,49K,175K,undervalued by 
1703 24TH ST,49K,163K,undervalued by 
1603 TRUMAN DR,49K,165K,undervalued by 
5416 NORRIS ST,49K,155K,undervalued by 
2644 CLEVELAND DR,49K,162K,undervalued by 
2117 NORTHWESTERN AVE,49K,173K,undervalued by 
2512 BRISTOL DR,49K,174K,undervalued by 
3715 EMERALD DR,49K,160K,undervalued by 
1115 HYLAND AVE,49K,173K,undervalued by 
3908 EISENHOWER AVE,49K,170K,undervalued by 
922 ARIZONA AVE,49K,158K,undervalued by 
2438 WELBECK DR,49K,173K,undervalued by 
1405 ARTHUR DR,49K,178K,undervalued by 
2888 MONROE DR,49K,174K,undervalued by 
914 ARKANSAS AVE,49K,165K,undervalued by 
3822 HYDE AVE,49K,168K,undervalued by 
2040 WYNGATE DR,48K,162K,undervalued by 
1909 MAXWELL AVE,48K,160K,undervalued by 
2824 ROSS RD,48K,200K,undervalued by 
3913 ROSS RD,48K,172K,undervalued by 
3431 ROSS RD,48K,168K,undervalued by 
1910 WYNGATE DR,48K,168K,undervalued by 
1909 WYNGATE DR,48K,168K,undervalued by 
2953 MONROE DR,48K,170K,undervalued by 
1204 20TH ST,48K,168K,undervalued by 
2723 HAMPTON ST,48K,168K,undervalued by 
4107 ROSS RD,48K,164K,undervalued by 
2708 BRISTOL DR,48K,170K,undervalued by 
4018 ARKANSAS DR,48K,163K,undervalued by 
3837 WELBECK DR,48K,167K,undervalued by 
1718 ROOSEVELT AVE,48K,174K,undervalued by 
2226 HAYES AVE,48K,171K,undervalued by 
2719 LAUREL ST,48K,168K,undervalued by 
1821 MAXWELL AVE,48K,165K,undervalued by 
2912 OAKLAND ST,48K,160K,undervalued by 
2609 GREEN HILLS DR,48K,175K,undervalued by 
2215 KELLOGG AVE,48K,176K,undervalued by 
3318 EMERALD DR,48K,164K,undervalued by 
3312 EISENHOWER AVE,48K,176K,undervalued by 
4709 TWAIN ST,47K,156K,undervalued by 
3410 EMERALD DR,47K,165K,undervalued by 
2023 WYNGATE DR,47K,175K,undervalued by 
1718 COOLIDGE DR,47K,161K,undervalued by 
3502 JEWEL DR,47K,173K,undervalued by 
2233 MCKINLEY CT,47K,172K,undervalued by 
509 ASH AVE,47K,177K,undervalued by 
1322 ILLINOIS AVE,47K,171K,undervalued by 
3908 FLETCHER BLVD,47K,170K,undervalued by 
2009 STEVENSON DR,47K,185K,undervalued by 
630 RIVER OAK DR,47K,172K,undervalued by 
2238 KNAPP ST,47K,175K,undervalued by 
4551 TWAIN CIR,47K,185K,undervalued by 
1318 KELLOGG AVE,47K,170K,undervalued by 
206 SANDBURG CT,47K,160K,undervalued by 
711 RIDGEWOOD AVE,47K,184K,undervalued by 
4029 FLETCHER BLVD,47K,180K,undervalued by 
409 BEEDLE DR,46K,157K,undervalued by 
2206 WINDFIELD DR,46K,176K,undervalued by 
3902 EISENHOWER AVE,46K,173K,undervalued by 
620 RIVER OAK DR,46K,176K,undervalued by 
3817 WESTLAWN DR,46K,172K,undervalued by 
3414 EISENHOWER AVE,46K,178K,undervalued by 
3702 JEWEL DR,46K,188K,undervalued by 
821 RIDGEWOOD AVE,46K,180K,undervalued by 
5430 FROST DR,46K,156K,undervalued by 
2508 TIMBERLAND RD,46K,170K,undervalued by 
2421 WESTWIND DR,46K,172K,undervalued by 
2216 FILLMORE AVE,46K,176K,undervalued by 
2324 KNAPP ST,46K,189K,undervalued by 
3808 WESTLAWN DR,46K,170K,undervalued by 
1600 TRUMAN DR,46K,168K,undervalued by 
5317 KANSAS DR,46K,159K,undervalued by 
4010 WELBECK DR,46K,170K,undervalued by 
1412 INDIANA AVE,46K,172K,undervalued by 
3838 WELBECK DR,45K,178K,undervalued by 
3318 EISENHOWER AVE,45K,176K,undervalued by 
113 E O NEIL DR,45K,163K,undervalued by 
2726 WHITE OAK DR,45K,175K,undervalued by 
2966 MONROE DR,45K,172K,undervalued by 
3823 COLUMBINE AVE,45K,166K,undervalued by 
3508 JEWEL DR,45K,170K,undervalued by 
2223 DUFF AVE,45K,168K,undervalued by 
215 PARKRIDGE CIR,45K,188K,undervalued by 
521 ELY CIR,45K,166K,undervalued by 
2944 MONROE DR,45K,175K,undervalued by 
616 18TH ST,45K,180K,undervalued by 
3010 TURQUOISE CIR,45K,173K,undervalued by 
426 E 20TH ST,44K,183K,undervalued by 
627 CRYSTAL ST,44K,173K,undervalued by 
133 E 13TH ST,44K,166K,undervalued by 
2722 NORTHWOOD DR,44K,172K,undervalued by 
3218 OAKLAND ST,44K,185K,undervalued by 
3508 EMERALD DR,44K,166K,undervalued by 
234 PARKRIDGE CIR,44K,185K,undervalued by 
622 CRYSTAL ST,44K,172K,undervalued by 
2007 COUNTRY CLUB BLVD,44K,178K,undervalued by 
2220 ASH AVE,44K,170K,undervalued by 
4221 CRESTMOOR AVE,44K,170K,undervalued by 
2102 FURMAN DR,44K,178K,undervalued by 
1702 TOP O HOLLOW RD,43K,169K,undervalued by 
2409 WELBECK DR,43K,175K,undervalued by 
1410 CALIFORNIA AVE,43K,173K,undervalued by 
4302 WELBECK DR,43K,174K,undervalued by 
4818 WALLER ST,43K,174K,undervalued by 
2703 PIERCE AVE,43K,185K,undervalued by 
1520 CALIFORNIA AVE,43K,170K,undervalued by 
4204 CRESTMOOR AVE,43K,174K,undervalued by 
2507 WHITE OAK DR,43K,184K,undervalued by 
2919 NORTHWOOD DR,43K,192K,undervalued by 
1217 IDAHO AVE,43K,180K,undervalued by 
4028 FLETCHER BLVD,43K,180K,undervalued by 
423 OLIVER AVE,43K,177K,undervalued by 
2448 WELBECK DR,43K,179K,undervalued by 
2707 BRISTOL DR,43K,173K,undervalued by 
5405 NORRIS ST,43K,159K,undervalued by 
1149 OKLAHOMA DR,43K,178K,undervalued by 
2623 STANGE RD,43K,165K,undervalued by 
2011 KILDEE ST,43K,164K,undervalued by 
5443 CLEMENS BLVD,43K,180K,undervalued by 
3835 BROOKDALE AVE,43K,176K,undervalued by 
1802 BUCHANAN DR,43K,190K,undervalued by 
4404 TODD DR,42K,156K,undervalued by 
2723 BRISTOL DR,42K,172K,undervalued by 
3842 HYDE AVE,42K,180K,undervalued by 
2721 BURR OAK CIR,42K,188K,undervalued by 
4213 WESTBROOK DR,42K,173K,undervalued by 
2304 VAN BUREN AVE,42K,185K,undervalued by 
2851 MONROE DR,42K,190K,undervalued by 
1026 POE AVE,42K,170K,undervalued by 
908 POE AVE,42K,167K,undervalued by 
3813 EISENHOWER AVE,42K,179K,undervalued by 
2722 WHITE OAK CIR,42K,180K,undervalued by 
5512 MARYLAND ST,42K,181K,undervalued by 
2920 NORTHRIDGE PKWY,42K,190K,undervalued by 
3813 WELBECK DR,42K,176K,undervalued by 
2829 WHITE OAK DR,42K,180K,undervalued by 
2529 NORTHWOOD DR,42K,194K,undervalued by 
3616 ROSS RD,42K,164K,undervalued by 
3616 CALHOUN AVE,42K,185K,undervalued by 
1511 INDIANA AVE,41K,179K,undervalued by 
4110 CRESTMOOR AVE,41K,174K,undervalued by 
4824 WALLER ST,41K,180K,undervalued by 
4122 QUEBEC ST,41K,165K,undervalued by 
4011 WESTLAWN DR,41K,184K,undervalued by 
1528 LINDEN DR,41K,187K,undervalued by 
3817 FLETCHER BLVD,41K,180K,undervalued by 
5136 EMERSON DR,41K,174K,undervalued by 
2602 CLAYTON DR,41K,176K,undervalued by 
112 HARTFORD DR,41K,181K,undervalued by 
2414 WESTWIND DR,41K,181K,undervalued by 
2338 WESTWIND DR,41K,179K,undervalued by 
1309 KENTUCKY AVE,41K,176K,undervalued by 
2734 NORTHRIDGE LN,41K,172K,undervalued by 
2207 MELROSE AVE,41K,178K,undervalued by 
1403 COOLIDGE DR,41K,179K,undervalued by 
119 HARTFORD DR,41K,173K,undervalued by 
3821 BROOKDALE AVE,41K,178K,undervalued by 
4805 WALLER ST,41K,180K,undervalued by 
3806 BERKSHIRE AVE,41K,185K,undervalued by 
2613 DUFF AVE,41K,190K,undervalued by 
3403 POLARIS DR,41K,177K,undervalued by 
4024 ARKANSAS DR,41K,180K,undervalued by 
3809 EISENHOWER AVE,41K,176K,undervalued by 
3100 DIAMOND ST,41K,170K,undervalued by 
1608 TRUMAN DR,40K,184K,undervalued by 
2810 WHITE OAK DR,40K,178K,undervalued by 
1814 BUCHANAN DR,40K,192K,undervalued by 
4002 BRICKMAN AVE,40K,185K,undervalued by 
2707 HAMPTON ST,40K,177K,undervalued by 
1111 GARNER CIR,40K,184K,undervalued by 
1514 CALIFORNIA AVE,40K,181K,undervalued by 
4812 WALLER ST,40K,174K,undervalued by 
2717 BRISTOL DR,40K,179K,undervalued by 
2423 GRANT CIR,40K,181K,undervalued by 
623 CRYSTAL ST,40K,171K,undervalued by 
3913 HYDE AVE,40K,180K,undervalued by 
4309 CRESTMOOR AVE,40K,176K,undervalued by 
3312 DARTMOOR LN,40K,187K,undervalued by 
3306 EISENHOWER AVE,40K,182K,undervalued by 
3814 BROOKDALE AVE,40K,174K,undervalued by 
2709 HAMPTON ST,40K,177K,undervalued by 
2159 COUNTRY CLUB BLVD 2157,40K,205K,undervalued by 
2101 BUCHANAN DR,40K,183K,undervalued by 
1819 COOLIDGE DR,40K,180K,undervalued by 
5318 DURANT ST,40K,176K,undervalued by 
2703 BRISTOL DR,40K,176K,undervalued by 
4003 HYDE AVE,40K,178K,undervalued by 
1915 STEVENSON DR,40K,188K,undervalued by 
3845 WELBECK DR,40K,184K,undervalued by 
321 JEWEL DR,40K,169K,undervalued by 
1912 DUFF AVE,39K,200K,undervalued by 
2705 BRISTOL DR,39K,176K,undervalued by 
1930 WINDFIELD DR,39K,173K,undervalued by 
2717 HAMPTON ST,39K,177K,undervalued by 
3801 COLUMBINE AVE,39K,178K,undervalued by 
3112 EISENHOWER AVE,39K,184K,undervalued by 
2124 TORREY PINES RD,39K,182K,undervalued by 
1942 STEVENSON DR,39K,189K,undervalued by 
2911 EISENHOWER AVE,39K,180K,undervalued by 
2806 YORK DR,39K,182K,undervalued by 
3422 CLINTON CT,39K,181K,undervalued by 
2711 HAMPTON ST,39K,178K,undervalued by 
1530 STONE BROOKE RD,39K,182K,undervalued by 
720 MURRAY DR,39K,198K,undervalued by 
2718 EISENHOWER AVE,39K,180K,undervalued by 
2006 WYNGATE DR,39K,177K,undervalued by 
1636 JOHNSON ST,39K,200K,undervalued by 
1412 NEBRASKA AVE,39K,179K,undervalued by 
1317 COOLIDGE DR,39K,175K,undervalued by 
110 HUNZIKER CIR,39K,182K,undervalued by 
2513 WHITE OAK DR,38K,176K,undervalued by 
805 TENNYSON AVE,38K,183K,undervalued by 
3209 WOODLAND ST,38K,182K,undervalued by 
2741 CLEVELAND DR,38K,183K,undervalued by 
1422 CALIFORNIA AVE,38K,184K,undervalued by 
3911 WESTLAWN DR,38K,184K,undervalued by 
2323 MCKINLEY CIR,38K,190K,undervalued by 
3823 BERKSHIRE AVE,38K,178K,undervalued by 
2721 KELLOGG AVE,38K,178K,undervalued by 
2149 PRAIRIE VIEW EAST,38K,188K,undervalued by 
2727 WHITE OAK DR,38K,180K,undervalued by 
3515 EMERALD DR,38K,174K,undervalued by 
1903 MEADOWLANE AVE,38K,186K,undervalued by 
2815 BRISTOL DR,38K,176K,undervalued by 
2106 TORREY PINES RD,38K,187K,undervalued by 
3409 POLARIS DR,38K,184K,undervalued by 
510 LUTHER DR,38K,188K,undervalued by 
3814 BERKSHIRE AVE,38K,189K,undervalued by 
1118 OKLAHOMA DR,38K,180K,undervalued by 
1519 STONE BROOKE RD,38K,188K,undervalued by 
2720 NORTHRIDGE LN,37K,178K,undervalued by 
3839 BERKSHIRE AVE,37K,181K,undervalued by 
4626 WEBSTER ST,37K,178K,undervalued by 
2902 HARRISON RD,37K,186K,undervalued by 
3815 QUEBEC ST,37K,175K,undervalued by 
118 HARTFORD DR,37K,176K,undervalued by 
3816 HYDE AVE,37K,186K,undervalued by 
5311 NORRIS ST,37K,175K,undervalued by 
3917 WESTLAWN DR,37K,188K,undervalued by 
4005 BRICKMAN AVE,37K,179K,undervalued by 
2018 TAYLOR CIR,36K,185K,undervalued by 
5234 TEXAS CIR,36K,189K,undervalued by 
3906 WESTLAWN DR,36K,180K,undervalued by 
1415 KENTUCKY AVE,36K,179K,undervalued by 
4106 BRICKMAN AVE,36K,180K,undervalued by 
2721 HAMPTON ST,36K,180K,undervalued by 
4003 WESTLAWN DR,36K,176K,undervalued by 
5103 KANSAS DR,36K,184K,undervalued by 
5213 CERVANTES DR,36K,188K,undervalued by 
711 9TH ST,36K,200K,undervalued by 
3115 CEDAR LN,36K,168K,undervalued by 
2152 ASHMORE DR,36K,198K,undervalued by 
2753 CLEVELAND DR,36K,186K,undervalued by 
1527 STONE BROOKE RD,36K,189K,undervalued by 
3828 EISENHOWER AVE,36K,181K,undervalued by 
2427 WELBECK DR,36K,186K,undervalued by 
403 BEEDLE DR,36K,172K,undervalued by 
4117 APLIN RD,36K,165K,undervalued by 
3840 BERKSHIRE AVE,36K,183K,undervalued by 
4811 WALLER ST,35K,186K,undervalued by 
2638 CLEVELAND DR,35K,185K,undervalued by 
5300 MARYLAND ST,35K,182K,undervalued by 
4209 CRESTMOOR AVE,35K,184K,undervalued by 
2512 EATON AVE,35K,184K,undervalued by 
827 MILLER AVE,35K,185K,undervalued by 
1512 KENTUCKY AVE,35K,189K,undervalued by 
4908 WALLER ST,35K,186K,undervalued by 
428 JEWEL DR,35K,173K,undervalued by 
2729 NORTHWOOD DR,35K,175K,undervalued by 
619 ASH AVE,35K,190K,undervalued by 
3611 OAKLAND ST,35K,190K,undervalued by 
1508 CALIFORNIA AVE,35K,185K,undervalued by 
5344 CLEMENS BLVD,34K,187K,undervalued by 
208 HARTFORD DR,34K,191K,undervalued by 
917 TENNYSON AVE,34K,195K,undervalued by 
5217 NEVADA CIR,34K,187K,undervalued by 
5250 SCHUBERT ST,34K,178K,undervalued by 
1218 20TH ST,34K,180K,undervalued by 
2032 PINEHURST DR,34K,190K,undervalued by 
1509 JACKSON DR,34K,181K,undervalued by 
4901 WALLER ST,34K,186K,undervalued by 
5408 CLEMENS BLVD,34K,192K,undervalued by 
2807 BRISTOL DR,34K,194K,undervalued by 
4007 WESTLAWN DR,34K,190K,undervalued by 
1717 BUCHANAN DR,34K,175K,undervalued by 
1936 WYNGATE DR,34K,178K,undervalued by 
2854 MONROE DR,34K,198K,undervalued by 
3803 BROOKDALE AVE,34K,185K,undervalued by 
2037 COUNTRY CLUB BLVD,34K,189K,undervalued by 
3323 BUCHANAN CT,34K,195K,undervalued by 
2122 WINDFIELD DR,34K,180K,undervalued by 
4606 CLEMENS BLVD,34K,191K,undervalued by 
2420 WELBECK DR,34K,187K,undervalued by 
5316 THACKERAY DR,34K,191K,undervalued by 
4915 WALLER ST,34K,190K,undervalued by 
3907 BERKSHIRE AVE,34K,184K,undervalued by 
